Risk_Flag,Interest_Revenue,Sampling_Weight,Application_Date,Age,Income,Debt_Ratio,Nb_Borrowers,Region,Bank_Relationship,Loan_Amt,Loan_Amt_Req,LTV,FICO_Score,Prior_Custom_Score,Current_Custom_Score,CB_Age_Oldest_TL,CB_Age_Newest_TL,CB_Avg_Mos_File,CB_Nb_Sat_TL,CB_Nb_60_Plus_TL,CB_Nb_90_Plus_TL,CB_Pct_Sat_TL,CB_Mos_Since_Dlq,CB_Max_Dlq_12_Mos,CB_Max_Dlq_Ever,CB_Nb_Total_TL,CB_Nb_TL_Open_12,CB_Pct_IL_TL,CB_Nb_Inq_6_Mos,CB_Nb_Inq_6_Mos_excl_7_Days,CB_Rev_Util,CB_IL_Util,CB_Nb_Rev_TL_w_Bal,CB_Nb_IL_TL_w_Bal,CB_Nb_Rev_Tl_75_Pct_Limit,CB_Pct_TL_w_Bal
0,494,1,20100501,33,3709,35,1,REG4,NA,127000,32000,87,607,245,224,144,4,84,20,3,0,83,2,3,5,23,1,43,0,0,33,.,8,1,1,69
0,0,1,20111201,50,4019,13,1,REG4,NA,64845,35000,54,641,223,191,58,15,41,2,4,4,100,999,0,8,7,0,67,0,0,0,.,0,.,.,0
0,682.5,1,20100801,73,3880,18,2,REG4,NA,87065,30000,61,672,218,193,66,5,24,9,0,0,100,999,7,8,9,4,44,4,4,53,66,4,2,1,86
0,436.5,1,20100601,35,3334,44,1,REG4,NA,97000,10000,90,668,212,192,169,1,73,28,1,1,93,76,6,6,30,3,57,5,4,72,83,6,4,3,91
0,527.15,1,20110801,70,808,47,1,REG4,NA,37000,10000,90,750,288,243,333,27,132,12,0,0,100,999,7,8,12,0,25,1,1,51,89,3,1,0,80
0,1222.5,1,20111101,35,5042,40,2,REG4,NA,54189,25000,99,631,231,194,137,11,78,31,0,0,91,1,4,6,32,1,47,0,0,62,93,12,4,3,94
1,852.49,48.4082,20110401,36,8250,11,2,REG4,NA,80000,17000,100,600,222,175,88,7,37,25,0,0,92,9,4,6,26,3,58,4,4,89,76,7,7,2,100
1,441.5,48.4082,20110301,41,2750,59,1,REG4,NA,87500,45000,83,678,273,237,148,7,65,17,0,0,83,31,6,6,18,1,44,0,0,28,48,2,2,2,40
0,1930.5,1,20100301,57,12250,21,2,REG4,NA,253000,100000,78,631,250,211,324,2,138,24,0,0,85,5,4,6,27,1,26,1,1,68,.,7,1,3,90
0,362.5,1,20100301,26,3975,15,2,REG4,NA,51000,15000,90,638,235,201,79,4,36,19,0,0,95,5,4,6,19,3,26,6,6,31,86,5,3,1,62
